serialNumber,category,brand,model,schoolCode,status,specifications,condition
TAB-599609584,Tablet,Apple,MatePad,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-599610295,Desktop,Lenovo,EliteDesk 800,,Available,"Network Ready, Duplex Printing",New
PRO-599611959,Projector,ViewSonic,PA503W,,Available,"3000 Lumens, HDMI, VGA",New
DES-599612399,Desktop,Acer,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",Good
DES-599613899,Desktop,Acer,EliteDesk 800,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-599614363,Tablet,Huawei,Tab M10,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-599615030,Tablet,Samsung,Galaxy Tab A8,,Available,"3000 Lumens, HDMI, VGA",New
PRO-599616819,Projector,BenQ,HD146X,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
TAB-599617575,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-599618341,Tablet,Huawei,Tab M10,,Maintenance,"3000 Lumens, HDMI, VGA",Good
PRO-599619426,Projector,BenQ,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-599620264,Others,Brother,DCP-L2550DW,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-599621238,Desktop,Dell,OptiPlex 3080,,Available,"3000 Lumens, HDMI, VGA",New
TAB-599622535,Tablet,Apple,MatePad,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-599623808,Laptop,ASUS,VivoBook 15,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-599624869,Laptop,Lenovo,ThinkPad E14,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-599625538,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-599626606,Laptop,Dell,ThinkPad E14,,Available,"Network Ready, Duplex Printing",New
DES-599627885,Desktop,HP,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",New
TAB-599628765,Tablet,Apple,MatePad,,Available,"13.3 inch Display, 128GB Storage",Good
OTH-599629639,Others,HP,Webcam C920,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-599630624,Others,Brother,DCP-L2550DW,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-599631877,Desktop,HP,Veriton M,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-599632975,Laptop,HP,VivoBook 15,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-599633906,Projector,BenQ,PA503W,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-599634148,Laptop,Dell,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-599635808,Desktop,Dell,ThinkCentre M720,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-599636433,Projector,BenQ,HD146X,,Available,"4000 Lumens, Wireless",Good
LAP-599637901,Laptop,Lenovo,Aspire 5,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-599638048,Projector,Epson,PA503W,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
LAP-599639852,Laptop,Lenovo,ThinkPad E14,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-599640622,Desktop,HP,OptiPlex 3080,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599641166,Others,Brother,Printer MF445dw,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-599642764,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-599643506,Laptop,ASUS,ThinkPad E14,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-599644304,Laptop,Dell,ProBook 450,,Maintenance,"Network Ready, Duplex Printing",New
PRO-599645493,Projector,Optoma,PA503W,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-599646830,Others,Brother,Printer MF445dw,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-599647574,Others,Canon,LaserJet Pro,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-599648737,Others,Canon,Webcam C920,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-599649720,Others,Logitech,LaserJet Pro,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-599650880,Projector,Epson,PA503W,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-599651330,Others,Canon,DCP-L2550DW,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-599652334,Desktop,Acer,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-599653644,Tablet,Lenovo,Tab M10,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-599654860,Desktop,Acer,EliteDesk 800,,Available,"13.3 inch Display, 128GB Storage",Good
OTH-599655705,Others,Canon,Printer MF445dw,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-599656815,Others,HP,DCP-L2550DW,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-599657291,Projector,ViewSonic,HD146X,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-599658209,Projector,ViewSonic,PA503W,,Maintenance,"Network Ready, Duplex Printing",Good
PRO-599659561,Projector,BenQ,MH550,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-599660920,Laptop,Lenovo,Latitude 3520,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599661248,Others,Logitech,LaserJet Pro,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-599662615,Laptop,Acer,ProBook 450,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-599663328,Projector,ViewSonic,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
OTH-599664296,Others,Brother,DCP-L2550DW,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-599665459,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"Network Ready, Duplex Printing",New
PRO-599666562,Projector,ViewSonic,MH550,,Available,"4000 Lumens, Wireless",Fair
TAB-599667280,Tablet,Apple,Galaxy Tab A8,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-599668994,Laptop,Acer,ThinkPad E14,,Maintenance,"4000 Lumens, Wireless",New
PRO-599669962,Projector,ViewSonic,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-599670573,Others,Logitech,LaserJet Pro,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
LAP-599671494,Laptop,Lenovo,Latitude 3520,,Available,"4000 Lumens, Wireless",New
TAB-599672262,Tablet,Apple,MatePad,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-599673407,Projector,BenQ,MH550,,Available,"3000 Lumens, HDMI, VGA",Good
TAB-599674231,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-599675491,Desktop,Acer,OptiPlex 3080,,Maintenance,"3000 Lumens, HDMI, VGA",New
DES-599676674,Desktop,Lenovo,Veriton M,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-599677671,Projector,Optoma,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599678093,Others,Canon,LaserJet Pro,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-599679474,Laptop,HP,Latitude 3520,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-599680037,Laptop,HP,ProBook 450,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-599681731,Desktop,Dell,EliteDesk 800,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
OTH-599682048,Others,Brother,LaserJet Pro,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-599683909,Tablet,Lenovo,iPad 9th Gen,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-599684961,Tablet,Samsung,Galaxy Tab A8,,Available,"10.1 inch Display, 64GB Storage",Fair
LAP-599685788,Laptop,Acer,Aspire 5,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-599686728,Desktop,Lenovo,OptiPlex 3080,,Available,"3000 Lumens, HDMI, VGA",New
OTH-599687259,Others,Canon,Printer MF445dw,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-599688029,Laptop,Dell,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-599689952,Projector,BenQ,EB-X05,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-599690437,Projector,BenQ,PA503W,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-599691607,Projector,Epson,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-599692356,Projector,BenQ,PA503W,,Available,"3000 Lumens, HDMI, VGA",Good
DES-599693017,Desktop,Dell,EliteDesk 800,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-599694194,Others,Logitech,Printer MF445dw,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-599695820,Projector,BenQ,EB-X05,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
PRO-599696020,Projector,Epson,HD146X,,Maintenance,"4000 Lumens, Wireless",Good
LAP-599697804,Laptop,Acer,Aspire 5,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-599698308,Desktop,Dell,ThinkCentre M720,,Maintenance,"Network Ready, Duplex Printing",Good
PRO-599699215,Projector,BenQ,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-599700195,Desktop,Acer,ThinkCentre M720,,Maintenance,"3000 Lumens, HDMI, VGA",Good
OTH-599701119,Others,Brother,Webcam C920,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-599702309,Laptop,ASUS,ProBook 450,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-599703420,Laptop,Lenovo,VivoBook 15,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
DES-599704809,Desktop,Acer,Veriton M,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
OTH-599705235,Others,Brother,Printer MF445dw,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
OTH-599706360,Others,Logitech,LaserJet Pro,,Available,"3000 Lumens, HDMI, VGA",New
DES-599707287,Desktop,Dell,ThinkCentre M720,,Available,"13.3 inch Display, 128GB Storage",Good
OTH-599708914,Others,Canon,Printer MF445dw,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-599709808,Projector,Epson,MH550,,Maintenance,"4000 Lumens, Wireless",Good
PRO-599710353,Projector,BenQ,MH550,,Maintenance,"Network Ready, Duplex Printing",Fair
OTH-599711449,Others,Logitech,DCP-L2550DW,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-599712861,Laptop,Lenovo,Aspire 5,,Available,"Network Ready, Duplex Printing",Fair
LAP-599713730,Laptop,Dell,Latitude 3520,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
OTH-599714600,Others,HP,Webcam C920,,Maintenance,"4000 Lumens, Wireless",Good
LAP-599715737,Laptop,Dell,Aspire 5,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-599716011,Desktop,Dell,ThinkCentre M720,,Available,"Network Ready, Duplex Printing",New
DES-599717770,Desktop,Acer,Veriton M,,Maintenance,"4000 Lumens, Wireless",New
PRO-599718245,Projector,BenQ,PA503W,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
LAP-599719077,Laptop,Lenovo,Aspire 5,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-599720155,Others,Brother,Webcam C920,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-599721331,Desktop,HP,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
DES-599722233,Desktop,Lenovo,ThinkCentre M720,,Maintenance,"3000 Lumens, HDMI, VGA",New
PRO-599723658,Projector,BenQ,HD146X,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
DES-599724993,Desktop,Dell,Veriton M,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-599725308,Desktop,Dell,OptiPlex 3080,,Maintenance,"10.1 inch Display, 64GB Storage",Good
PRO-599726182,Projector,ViewSonic,EB-X05,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599727835,Others,HP,Printer MF445dw,,Maintenance,"4000 Lumens, Wireless",New
TAB-599728779,Tablet,Apple,iPad 9th Gen,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
PRO-599729918,Projector,BenQ,EB-X05,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
DES-599730743,Desktop,HP,ThinkCentre M720,,Available,"Network Ready, Duplex Printing",Good
DES-599731935,Desktop,Acer,Veriton M,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-599732294,Tablet,Apple,MatePad,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-599733190,Laptop,Dell,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-599734259,Desktop,Dell,EliteDesk 800,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-599735058,Projector,Epson,PA503W,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-599736597,Desktop,HP,EliteDesk 800,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
LAP-599737340,Laptop,Lenovo,Aspire 5,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
PRO-599738421,Projector,ViewSonic,EB-X05,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
OTH-599739716,Others,Brother,Printer MF445dw,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-599740619,Laptop,Lenovo,VivoBook 15,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
LAP-599741737,Laptop,Acer,ProBook 450,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-599742415,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-599743841,Tablet,Huawei,MatePad,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
OTH-599744547,Others,HP,LaserJet Pro,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
PRO-599745702,Projector,ViewSonic,HD146X,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-599746041,Tablet,Samsung,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-599747919,Laptop,Acer,Latitude 3520,,Available,"4000 Lumens, Wireless",Good
PRO-599748175,Projector,Epson,HD146X,,Available,"10.1 inch Display, 64GB Storage",New
OTH-599749242,Others,Logitech,LaserJet Pro,,Available,"10.1 inch Display, 64GB Storage",Fair
LAP-599750164,Laptop,Dell,Aspire 5,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-599751015,Desktop,HP,OptiPlex 3080,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
TAB-599752485,Tablet,Huawei,Galaxy Tab A8,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-599753769,Laptop,HP,Aspire 5,,Available,"3000 Lumens, HDMI, VGA",New
PRO-599754293,Projector,Epson,EB-X05,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-599755579,Tablet,Apple,MatePad,,Maintenance,"10.1 inch Display, 64GB Storage",Good
LAP-599756218,Laptop,Dell,ProBook 450,,Available,"3000 Lumens, HDMI, VGA",Good
TAB-599757333,Tablet,Apple,Galaxy Tab A8,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-599758219,Laptop,HP,ProBook 450,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-599759713,Tablet,Huawei,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-599760994,Laptop,Lenovo,ProBook 450,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-599761465,Desktop,Acer,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",Good
DES-599762428,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"4000 Lumens, Wireless",New
TAB-599763924,Tablet,Lenovo,iPad 9th Gen,,Available,"4000 Lumens, Wireless",Fair
PRO-599764320,Projector,BenQ,EB-X05,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
TAB-599765473,Tablet,Samsung,MatePad,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-599766413,Tablet,Samsung,iPad 9th Gen,,Available,"3000 Lumens, HDMI, VGA",Fair
PRO-599767934,Projector,Epson,MH550,,Available,"10.1 inch Display, 64GB Storage",New
PRO-599768841,Projector,Optoma,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-599769848,Desktop,Acer,ThinkCentre M720,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-599770198,Laptop,Acer,Latitude 3520,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-599771258,Projector,ViewSonic,MH550,,Maintenance,"13.3 inch Display, 128GB Storage",New
LAP-599772345,Laptop,HP,Aspire 5,,Maintenance,"3000 Lumens, HDMI, VGA",Good
DES-599773840,Desktop,HP,OptiPlex 3080,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-599774417,Projector,Epson,EB-X05,,Maintenance,"4000 Lumens, Wireless",Fair
OTH-599775727,Others,Canon,LaserJet Pro,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
LAP-599776627,Laptop,Lenovo,Latitude 3520,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-599777090,Others,Canon,Webcam C920,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-599778066,Others,Canon,Webcam C920,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-599779211,Tablet,Huawei,iPad 9th Gen,,Maintenance,"Network Ready, Duplex Printing",Good
DES-599780775,Desktop,Lenovo,EliteDesk 800,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-599781683,Tablet,Lenovo,MatePad,,Available,"3000 Lumens, HDMI, VGA",New
LAP-599782654,Laptop,Lenovo,Aspire 5,,Available,"10.1 inch Display, 64GB Storage",Good
LAP-599783981,Laptop,Acer,Aspire 5,,Maintenance,"4000 Lumens, Wireless",Good
TAB-599784777,Tablet,Apple,iPad 9th Gen,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-599785464,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-599786559,Tablet,Apple,Tab M10,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-599787756,Laptop,HP,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
TAB-599788116,Tablet,Huawei,iPad 9th Gen,,Available,"10.1 inch Display, 64GB Storage",Fair
TAB-599789793,Tablet,Apple,Tab M10,,Available,"13.3 inch Display, 128GB Storage",Good
TAB-599790659,Tablet,Samsung,MatePad,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-599791625,Desktop,Lenovo,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-599792864,Laptop,Dell,ProBook 450,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-599793816,Others,Logitech,LaserJet Pro,,Available,"3000 Lumens, HDMI, VGA",New
DES-599794366,Desktop,Dell,ThinkCentre M720,,Available,"3000 Lumens, HDMI, VGA",New
TAB-599795932,Tablet,Lenovo,Tab M10,,Available,"10.1 inch Display, 64GB Storage",Good
TAB-599796678,Tablet,Lenovo,Galaxy Tab A8,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
TAB-599797021,Tablet,Huawei,iPad 9th Gen,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-599798065,Desktop,Dell,Veriton M,,Maintenance,"4000 Lumens, Wireless",Good
TAB-599799764,Tablet,Lenovo,Galaxy Tab A8,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-599800632,Tablet,Samsung,iPad 9th Gen,,Available,"4000 Lumens, Wireless",Good
OTH-599801851,Others,Brother,Webcam C920,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599802339,Others,HP,LaserJet Pro,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-599803962,Projector,Optoma,HD146X,,Available,"4000 Lumens, Wireless",New
PRO-599804971,Projector,ViewSonic,EB-X05,,Available,"3000 Lumens, HDMI, VGA",Good
OTH-599805918,Others,Logitech,LaserJet Pro,,Available,"3000 Lumens, HDMI, VGA",New
PRO-599806980,Projector,Epson,EB-X05,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-599807782,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-599808788,Projector,ViewSonic,EB-X05,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-599809963,Projector,Optoma,EB-X05,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-599810347,Tablet,Huawei,MatePad,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-599811854,Desktop,Acer,ThinkCentre M720,,Available,"4000 Lumens, Wireless",Fair
OTH-599812338,Others,Canon,LaserJet Pro,,Maintenance,"3000 Lumens, HDMI, VGA",Good
OTH-599813802,Others,HP,DCP-L2550DW,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
PRO-599814579,Projector,ViewSonic,EB-X05,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-599815579,Projector,Epson,PA503W,,Maintenance,"4000 Lumens, Wireless",New
TAB-599816363,Tablet,Lenovo,Tab M10,,Available,"4000 Lumens, Wireless",Fair
DES-599817228,Desktop,Dell,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
LAP-599818039,Laptop,Acer,ProBook 450,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-599819787,Others,Logitech,LaserJet Pro,,Available,"13.3 inch Display, 128GB Storage",New
DES-599820204,Desktop,Lenovo,EliteDesk 800,,Maintenance,"4000 Lumens, Wireless",Good
PRO-599821743,Projector,ViewSonic,EB-X05,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-599822352,Desktop,Dell,ThinkCentre M720,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-599823526,Others,Brother,DCP-L2550DW,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-599824075,Tablet,Samsung,Tab M10,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-599825426,Desktop,Lenovo,EliteDesk 800,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
OTH-599826073,Others,Brother,LaserJet Pro,,Maintenance,"Network Ready, Duplex Printing",Good
PRO-599827967,Projector,Epson,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-599828452,Tablet,Huawei,iPad 9th Gen,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-599829541,Tablet,Apple,Galaxy Tab A8,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-599830905,Desktop,Acer,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
DES-599831605,Desktop,Lenovo,OptiPlex 3080,,Maintenance,"Network Ready, Duplex Printing",New
TAB-599832701,Tablet,Huawei,iPad 9th Gen,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-599833571,Laptop,Dell,ThinkPad E14,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
OTH-599834380,Others,Logitech,Printer MF445dw,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
PRO-599835775,Projector,Optoma,HD146X,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-599836955,Tablet,Lenovo,Galaxy Tab A8,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-599837630,Others,HP,Webcam C920,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
PRO-599838248,Projector,ViewSonic,EB-X05,,Available,"4000 Lumens, Wireless",Fair
OTH-599839114,Others,Logitech,DCP-L2550DW,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-599840115,Projector,Epson,PA503W,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-599841434,Laptop,Acer,Aspire 5,,Maintenance,"13.3 inch Display, 128GB Storage",Good
PRO-599842765,Projector,BenQ,HD146X,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-599843383,Others,Logitech,Webcam C920,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
PRO-599844500,Projector,ViewSonic,PA503W,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-599845189,Projector,ViewSonic,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",Good
TAB-599846745,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-599847053,Desktop,Lenovo,Veriton M,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-599848050,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-599849323,Desktop,HP,ThinkCentre M720,,Maintenance,"4000 Lumens, Wireless",Fair
TAB-599850583,Tablet,Apple,Tab M10,,Available,"10.1 inch Display, 64GB Storage",Good
LAP-599851935,Laptop,HP,Aspire 5,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-599852238,Desktop,HP,OptiPlex 3080,,Available,"10.1 inch Display, 64GB Storage",Good
TAB-599853476,Tablet,Huawei,iPad 9th Gen,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-599854093,Laptop,HP,Latitude 3520,,Maintenance,"4000 Lumens, Wireless",New
OTH-599855299,Others,Canon,DCP-L2550DW,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-599856797,Desktop,Dell,OptiPlex 3080,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-599857047,Projector,Epson,EB-X05,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-599858773,Projector,Optoma,MH550,,Available,"Network Ready, Duplex Printing",New
DES-599859374,Desktop,HP,EliteDesk 800,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-599860279,Laptop,Dell,VivoBook 15,,Available,"10.1 inch Display, 64GB Storage",Fair
TAB-599861735,Tablet,Huawei,MatePad,,Maintenance,"4000 Lumens, Wireless",New
LAP-599862260,Laptop,ASUS,VivoBook 15,,Available,"3000 Lumens, HDMI, VGA",Good
PRO-599863664,Projector,Epson,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-599864642,Laptop,ASUS,Aspire 5,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-599865908,Projector,Optoma,HD146X,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-599866838,Tablet,Apple,iPad 9th Gen,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
