schoolCode,schoolName,category,province,district,sector,cell,village,email,phoneNumber,representativeEmail,status
SCH00683,Test School 683,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school683@testschool.rw,+25078000683,,Inactive
SCH00684,Test School 684,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school684@testschool.rw,+25078000684,,Active
SCH00685,Test School 685,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school685@testschool.rw,+25078000685,,Inactive
SCH00686,Test School 686,Other,Eastern Province,Bugesera,Sector 7,Cell 7,Village 12,school686@testschool.rw,+25078000686,,Active
SCH00687,Test School 687,TSS,Western Province,Ngororero,Sector 8,Cell 8,Village 13,school687@testschool.rw,+25078000687,,Inactive
SCH00688,Test School 688,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school688@testschool.rw,+25078000688,,Active
SCH00689,Test School 689,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school689@testschool.rw,+25078000689,,Inactive
SCH00690,Test School 690,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school690@testschool.rw,+25078000690,,Active
SCH00691,Test School 691,VTC,Eastern Province,Nyagatare,Sector 12,Cell 2,Village 2,school691@testschool.rw,+25078000691,,Inactive
SCH00692,Test School 692,Other,Western Province,Rutsiro,Sector 13,Cell 3,Village 3,school692@testschool.rw,+25078000692,,Active
SCH00693,Test School 693,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school693@testschool.rw,+25078000693,,Inactive
SCH00694,Test School 694,VTC,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 5,school694@testschool.rw,+25078000694,,Active
SCH00695,Test School 695,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school695@testschool.rw,+25078000695,,Inactive
SCH00696,Test School 696,TSS,Eastern Province,Kirehe,Sector 17,Cell 7,Village 7,school696@testschool.rw,+25078000696,,Active
SCH00697,Test School 697,VTC,Western Province,Rubavu,Sector 18,Cell 8,Village 8,school697@testschool.rw,+25078000697,,Inactive
SCH00698,Test School 698,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school698@testschool.rw,+25078000698,,Active
SCH00699,Test School 699,TSS,Southern Province,Muhanga,Sector 20,Cell 10,Village 10,school699@testschool.rw,+25078000699,,Inactive
SCH00700,Test School 700,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school700@testschool.rw,+25078000700,,Active
SCH00701,Test School 701,Other,Eastern Province,Gatsibo,Sector 2,Cell 2,Village 12,school701@testschool.rw,+25078000701,,Inactive
SCH00702,Test School 702,TSS,Western Province,Nyabihu,Sector 3,Cell 3,Village 13,school702@testschool.rw,+25078000702,,Active
SCH00703,Test School 703,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school703@testschool.rw,+25078000703,,Inactive
SCH00704,Test School 704,Other,Southern Province,Gisagara,Sector 5,Cell 5,Village 15,school704@testschool.rw,+25078000704,,Active
SCH00705,Test School 705,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school705@testschool.rw,+25078000705,,Inactive
SCH00706,Test School 706,VTC,Eastern Province,Rwamagana,Sector 7,Cell 7,Village 2,school706@testschool.rw,+25078000706,,Active
SCH00707,Test School 707,Other,Western Province,Karongi,Sector 8,Cell 8,Village 3,school707@testschool.rw,+25078000707,,Inactive
SCH00708,Test School 708,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school708@testschool.rw,+25078000708,,Active
SCH00709,Test School 709,VTC,Southern Province,Nyanza,Sector 10,Cell 10,Village 5,school709@testschool.rw,+25078000709,,Inactive
SCH00710,Test School 710,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school710@testschool.rw,+25078000710,,Active
SCH00711,Test School 711,TSS,Eastern Province,Ngoma,Sector 12,Cell 2,Village 7,school711@testschool.rw,+25078000711,,Inactive
SCH00712,Test School 712,VTC,Western Province,Rusizi,Sector 13,Cell 3,Village 8,school712@testschool.rw,+25078000712,,Active
SCH00713,Test School 713,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school713@testschool.rw,+25078000713,,Inactive
SCH00714,Test School 714,TSS,Southern Province,Kamonyi,Sector 15,Cell 5,Village 10,school714@testschool.rw,+25078000714,,Active
SCH00715,Test School 715,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school715@testschool.rw,+25078000715,,Inactive
SCH00716,Test School 716,Other,Eastern Province,Kayonza,Sector 17,Cell 7,Village 12,school716@testschool.rw,+25078000716,,Active
SCH00717,Test School 717,TSS,Western Province,Nyamasheke,Sector 18,Cell 8,Village 13,school717@testschool.rw,+25078000717,,Inactive
SCH00718,Test School 718,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school718@testschool.rw,+25078000718,,Active
SCH00719,Test School 719,Other,Southern Province,Ruhango,Sector 20,Cell 10,Village 15,school719@testschool.rw,+25078000719,,Inactive
SCH00720,Test School 720,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school720@testschool.rw,+25078000720,,Active
SCH00721,Test School 721,VTC,Eastern Province,Bugesera,Sector 2,Cell 2,Village 2,school721@testschool.rw,+25078000721,,Inactive
SCH00722,Test School 722,Other,Western Province,Ngororero,Sector 3,Cell 3,Village 3,school722@testschool.rw,+25078000722,,Active
SCH00723,Test School 723,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school723@testschool.rw,+25078000723,,Inactive
SCH00724,Test School 724,VTC,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 5,school724@testschool.rw,+25078000724,,Active
SCH00725,Test School 725,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school725@testschool.rw,+25078000725,,Inactive
SCH00726,Test School 726,TSS,Eastern Province,Nyagatare,Sector 7,Cell 7,Village 7,school726@testschool.rw,+25078000726,,Active
SCH00727,Test School 727,VTC,Western Province,Rutsiro,Sector 8,Cell 8,Village 8,school727@testschool.rw,+25078000727,,Inactive
SCH00728,Test School 728,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school728@testschool.rw,+25078000728,,Active
SCH00729,Test School 729,TSS,Southern Province,Huye,Sector 10,Cell 10,Village 10,school729@testschool.rw,+25078000729,,Inactive
SCH00730,Test School 730,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school730@testschool.rw,+25078000730,,Active
SCH00731,Test School 731,Other,Eastern Province,Kirehe,Sector 12,Cell 2,Village 12,school731@testschool.rw,+25078000731,,Inactive
SCH00732,Test School 732,TSS,Western Province,Rubavu,Sector 13,Cell 3,Village 13,school732@testschool.rw,+25078000732,,Active
SCH00733,Test School 733,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school733@testschool.rw,+25078000733,,Inactive
SCH00734,Test School 734,Other,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 15,school734@testschool.rw,+25078000734,,Active
SCH00735,Test School 735,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school735@testschool.rw,+25078000735,,Inactive
SCH00736,Test School 736,VTC,Eastern Province,Gatsibo,Sector 17,Cell 7,Village 2,school736@testschool.rw,+25078000736,,Active
SCH00737,Test School 737,Other,Western Province,Nyabihu,Sector 18,Cell 8,Village 3,school737@testschool.rw,+25078000737,,Inactive
SCH00738,Test School 738,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school738@testschool.rw,+25078000738,,Active
SCH00739,Test School 739,VTC,Southern Province,Muhanga,Sector 20,Cell 10,Village 5,school739@testschool.rw,+25078000739,,Inactive
SCH00740,Test School 740,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school740@testschool.rw,+25078000740,,Active
SCH00741,Test School 741,TSS,Eastern Province,Rwamagana,Sector 2,Cell 2,Village 7,school741@testschool.rw,+25078000741,,Inactive
SCH00742,Test School 742,VTC,Western Province,Karongi,Sector 3,Cell 3,Village 8,school742@testschool.rw,+25078000742,,Active
SCH00743,Test School 743,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school743@testschool.rw,+25078000743,,Inactive
SCH00744,Test School 744,TSS,Southern Province,Gisagara,Sector 5,Cell 5,Village 10,school744@testschool.rw,+25078000744,,Active
SCH00745,Test School 745,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school745@testschool.rw,+25078000745,,Inactive
SCH00746,Test School 746,Other,Eastern Province,Ngoma,Sector 7,Cell 7,Village 12,school746@testschool.rw,+25078000746,,Active
SCH00747,Test School 747,TSS,Western Province,Rusizi,Sector 8,Cell 8,Village 13,school747@testschool.rw,+25078000747,,Inactive
SCH00748,Test School 748,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school748@testschool.rw,+25078000748,,Active
SCH00749,Test School 749,Other,Southern Province,Nyanza,Sector 10,Cell 10,Village 15,school749@testschool.rw,+25078000749,,Inactive
SCH00750,Test School 750,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school750@testschool.rw,+25078000750,,Active
SCH00751,Test School 751,VTC,Eastern Province,Kayonza,Sector 12,Cell 2,Village 2,school751@testschool.rw,+25078000751,,Inactive
SCH00752,Test School 752,Other,Western Province,Nyamasheke,Sector 13,Cell 3,Village 3,school752@testschool.rw,+25078000752,,Active
SCH00753,Test School 753,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school753@testschool.rw,+25078000753,,Inactive
SCH00754,Test School 754,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school754@testschool.rw,+25078000754,,Active
SCH00755,Test School 755,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school755@testschool.rw,+25078000755,,Inactive
SCH00756,Test School 756,TSS,Eastern Province,Bugesera,Sector 17,Cell 7,Village 7,school756@testschool.rw,+25078000756,,Active
SCH00757,Test School 757,VTC,Western Province,Ngororero,Sector 18,Cell 8,Village 8,school757@testschool.rw,+25078000757,,Inactive
SCH00758,Test School 758,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school758@testschool.rw,+25078000758,,Active
SCH00759,Test School 759,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school759@testschool.rw,+25078000759,,Inactive
SCH00760,Test School 760,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school760@testschool.rw,+25078000760,,Active
SCH00761,Test School 761,Other,Eastern Province,Nyagatare,Sector 2,Cell 2,Village 12,school761@testschool.rw,+25078000761,,Inactive
SCH00762,Test School 762,TSS,Western Province,Rutsiro,Sector 3,Cell 3,Village 13,school762@testschool.rw,+25078000762,,Active
SCH00763,Test School 763,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school763@testschool.rw,+25078000763,,Inactive
SCH00764,Test School 764,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school764@testschool.rw,+25078000764,,Active
SCH00765,Test School 765,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school765@testschool.rw,+25078000765,,Inactive
SCH00766,Test School 766,VTC,Eastern Province,Kirehe,Sector 7,Cell 7,Village 2,school766@testschool.rw,+25078000766,,Active
SCH00767,Test School 767,Other,Western Province,Rubavu,Sector 8,Cell 8,Village 3,school767@testschool.rw,+25078000767,,Inactive
SCH00768,Test School 768,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school768@testschool.rw,+25078000768,,Active
SCH00769,Test School 769,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school769@testschool.rw,+25078000769,,Inactive
SCH00770,Test School 770,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school770@testschool.rw,+25078000770,,Active
SCH00771,Test School 771,TSS,Eastern Province,Gatsibo,Sector 12,Cell 2,Village 7,school771@testschool.rw,+25078000771,,Inactive
SCH00772,Test School 772,VTC,Western Province,Nyabihu,Sector 13,Cell 3,Village 8,school772@testschool.rw,+25078000772,,Active
SCH00773,Test School 773,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school773@testschool.rw,+25078000773,,Inactive
SCH00774,Test School 774,TSS,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 10,school774@testschool.rw,+25078000774,,Active
SCH00775,Test School 775,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school775@testschool.rw,+25078000775,,Inactive
SCH00776,Test School 776,Other,Eastern Province,Rwamagana,Sector 17,Cell 7,Village 12,school776@testschool.rw,+25078000776,,Active
SCH00777,Test School 777,TSS,Western Province,Karongi,Sector 18,Cell 8,Village 13,school777@testschool.rw,+25078000777,,Inactive
SCH00778,Test School 778,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school778@testschool.rw,+25078000778,,Active
SCH00779,Test School 779,Other,Southern Province,Muhanga,Sector 20,Cell 10,Village 15,school779@testschool.rw,+25078000779,,Inactive
SCH00780,Test School 780,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school780@testschool.rw,+25078000780,,Active
SCH00781,Test School 781,VTC,Eastern Province,Ngoma,Sector 2,Cell 2,Village 2,school781@testschool.rw,+25078000781,,Inactive
SCH00782,Test School 782,Other,Western Province,Rusizi,Sector 3,Cell 3,Village 3,school782@testschool.rw,+25078000782,,Active
SCH00783,Test School 783,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school783@testschool.rw,+25078000783,,Inactive
SCH00784,Test School 784,VTC,Southern Province,Gisagara,Sector 5,Cell 5,Village 5,school784@testschool.rw,+25078000784,,Active
SCH00785,Test School 785,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school785@testschool.rw,+25078000785,,Inactive
SCH00786,Test School 786,TSS,Eastern Province,Kayonza,Sector 7,Cell 7,Village 7,school786@testschool.rw,+25078000786,,Active
SCH00787,Test School 787,VTC,Western Province,Nyamasheke,Sector 8,Cell 8,Village 8,school787@testschool.rw,+25078000787,,Inactive
SCH00788,Test School 788,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school788@testschool.rw,+25078000788,,Active
SCH00789,Test School 789,TSS,Southern Province,Nyanza,Sector 10,Cell 10,Village 10,school789@testschool.rw,+25078000789,,Inactive
SCH00790,Test School 790,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school790@testschool.rw,+25078000790,,Active
SCH00791,Test School 791,Other,Eastern Province,Bugesera,Sector 12,Cell 2,Village 12,school791@testschool.rw,+25078000791,,Inactive
SCH00792,Test School 792,TSS,Western Province,Ngororero,Sector 13,Cell 3,Village 13,school792@testschool.rw,+25078000792,,Active
SCH00793,Test School 793,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school793@testschool.rw,+25078000793,,Inactive
SCH00794,Test School 794,Other,Southern Province,Kamonyi,Sector 15,Cell 5,Village 15,school794@testschool.rw,+25078000794,,Active
SCH00795,Test School 795,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school795@testschool.rw,+25078000795,,Inactive
SCH00796,Test School 796,VTC,Eastern Province,Nyagatare,Sector 17,Cell 7,Village 2,school796@testschool.rw,+25078000796,,Active
SCH00797,Test School 797,Other,Western Province,Rutsiro,Sector 18,Cell 8,Village 3,school797@testschool.rw,+25078000797,,Inactive
SCH00798,Test School 798,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school798@testschool.rw,+25078000798,,Active
SCH00799,Test School 799,VTC,Southern Province,Ruhango,Sector 20,Cell 10,Village 5,school799@testschool.rw,+25078000799,,Inactive
SCH00800,Test School 800,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school800@testschool.rw,+25078000800,,Active
SCH00801,Test School 801,TSS,Eastern Province,Kirehe,Sector 2,Cell 2,Village 7,school801@testschool.rw,+25078000801,,Inactive
SCH00802,Test School 802,VTC,Western Province,Rubavu,Sector 3,Cell 3,Village 8,school802@testschool.rw,+25078000802,,Active
SCH00803,Test School 803,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school803@testschool.rw,+25078000803,,Inactive
SCH00804,Test School 804,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school804@testschool.rw,+25078000804,,Active
SCH00805,Test School 805,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school805@testschool.rw,+25078000805,,Inactive
SCH00806,Test School 806,Other,Eastern Province,Gatsibo,Sector 7,Cell 7,Village 12,school806@testschool.rw,+25078000806,,Active
SCH00807,Test School 807,TSS,Western Province,Nyabihu,Sector 8,Cell 8,Village 13,school807@testschool.rw,+25078000807,,Inactive
SCH00808,Test School 808,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school808@testschool.rw,+25078000808,,Active
SCH00809,Test School 809,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school809@testschool.rw,+25078000809,,Inactive
SCH00810,Test School 810,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school810@testschool.rw,+25078000810,,Active
SCH00811,Test School 811,VTC,Eastern Province,Rwamagana,Sector 12,Cell 2,Village 2,school811@testschool.rw,+25078000811,,Inactive
SCH00812,Test School 812,Other,Western Province,Karongi,Sector 13,Cell 3,Village 3,school812@testschool.rw,+25078000812,,Active
SCH00813,Test School 813,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school813@testschool.rw,+25078000813,,Inactive
SCH00814,Test School 814,VTC,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 5,school814@testschool.rw,+25078000814,,Active
SCH00815,Test School 815,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school815@testschool.rw,+25078000815,,Inactive
SCH00816,Test School 816,TSS,Eastern Province,Ngoma,Sector 17,Cell 7,Village 7,school816@testschool.rw,+25078000816,,Active
SCH00817,Test School 817,VTC,Western Province,Rusizi,Sector 18,Cell 8,Village 8,school817@testschool.rw,+25078000817,,Inactive
SCH00818,Test School 818,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school818@testschool.rw,+25078000818,,Active
SCH00819,Test School 819,TSS,Southern Province,Muhanga,Sector 20,Cell 10,Village 10,school819@testschool.rw,+25078000819,,Inactive
SCH00820,Test School 820,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school820@testschool.rw,+25078000820,,Active
SCH00821,Test School 821,Other,Eastern Province,Kayonza,Sector 2,Cell 2,Village 12,school821@testschool.rw,+25078000821,,Inactive
SCH00822,Test School 822,TSS,Western Province,Nyamasheke,Sector 3,Cell 3,Village 13,school822@testschool.rw,+25078000822,,Active
SCH00823,Test School 823,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school823@testschool.rw,+25078000823,,Inactive
SCH00824,Test School 824,Other,Southern Province,Gisagara,Sector 5,Cell 5,Village 15,school824@testschool.rw,+25078000824,,Active
SCH00825,Test School 825,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school825@testschool.rw,+25078000825,,Inactive
SCH00826,Test School 826,VTC,Eastern Province,Bugesera,Sector 7,Cell 7,Village 2,school826@testschool.rw,+25078000826,,Active
SCH00827,Test School 827,Other,Western Province,Ngororero,Sector 8,Cell 8,Village 3,school827@testschool.rw,+25078000827,,Inactive
SCH00828,Test School 828,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school828@testschool.rw,+25078000828,,Active
SCH00829,Test School 829,VTC,Southern Province,Nyanza,Sector 10,Cell 10,Village 5,school829@testschool.rw,+25078000829,,Inactive
SCH00830,Test School 830,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school830@testschool.rw,+25078000830,,Active
SCH00831,Test School 831,TSS,Eastern Province,Nyagatare,Sector 12,Cell 2,Village 7,school831@testschool.rw,+25078000831,,Inactive
SCH00832,Test School 832,VTC,Western Province,Rutsiro,Sector 13,Cell 3,Village 8,school832@testschool.rw,+25078000832,,Active
SCH00833,Test School 833,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school833@testschool.rw,+25078000833,,Inactive
SCH00834,Test School 834,TSS,Southern Province,Kamonyi,Sector 15,Cell 5,Village 10,school834@testschool.rw,+25078000834,,Active
SCH00835,Test School 835,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school835@testschool.rw,+25078000835,,Inactive
SCH00836,Test School 836,Other,Eastern Province,Kirehe,Sector 17,Cell 7,Village 12,school836@testschool.rw,+25078000836,,Active
SCH00837,Test School 837,TSS,Western Province,Rubavu,Sector 18,Cell 8,Village 13,school837@testschool.rw,+25078000837,,Inactive
SCH00838,Test School 838,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school838@testschool.rw,+25078000838,,Active
SCH00839,Test School 839,Other,Southern Province,Ruhango,Sector 20,Cell 10,Village 15,school839@testschool.rw,+25078000839,,Inactive
SCH00840,Test School 840,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school840@testschool.rw,+25078000840,,Active
SCH00841,Test School 841,VTC,Eastern Province,Gatsibo,Sector 2,Cell 2,Village 2,school841@testschool.rw,+25078000841,,Inactive
SCH00842,Test School 842,Other,Western Province,Nyabihu,Sector 3,Cell 3,Village 3,school842@testschool.rw,+25078000842,,Active
SCH00843,Test School 843,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school843@testschool.rw,+25078000843,,Inactive
SCH00844,Test School 844,VTC,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 5,school844@testschool.rw,+25078000844,,Active
SCH00845,Test School 845,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school845@testschool.rw,+25078000845,,Inactive
SCH00846,Test School 846,TSS,Eastern Province,Rwamagana,Sector 7,Cell 7,Village 7,school846@testschool.rw,+25078000846,,Active
SCH00847,Test School 847,VTC,Western Province,Karongi,Sector 8,Cell 8,Village 8,school847@testschool.rw,+25078000847,,Inactive
SCH00848,Test School 848,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school848@testschool.rw,+25078000848,,Active
SCH00849,Test School 849,TSS,Southern Province,Huye,Sector 10,Cell 10,Village 10,school849@testschool.rw,+25078000849,,Inactive
SCH00850,Test School 850,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school850@testschool.rw,+25078000850,,Active
SCH00851,Test School 851,Other,Eastern Province,Ngoma,Sector 12,Cell 2,Village 12,school851@testschool.rw,+25078000851,,Inactive
SCH00852,Test School 852,TSS,Western Province,Rusizi,Sector 13,Cell 3,Village 13,school852@testschool.rw,+25078000852,,Active
SCH00853,Test School 853,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school853@testschool.rw,+25078000853,,Inactive
SCH00854,Test School 854,Other,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 15,school854@testschool.rw,+25078000854,,Active
SCH00855,Test School 855,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school855@testschool.rw,+25078000855,,Inactive
SCH00856,Test School 856,VTC,Eastern Province,Kayonza,Sector 17,Cell 7,Village 2,school856@testschool.rw,+25078000856,,Active
SCH00857,Test School 857,Other,Western Province,Nyamasheke,Sector 18,Cell 8,Village 3,school857@testschool.rw,+25078000857,,Inactive
SCH00858,Test School 858,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school858@testschool.rw,+25078000858,,Active
SCH00859,Test School 859,VTC,Southern Province,Muhanga,Sector 20,Cell 10,Village 5,school859@testschool.rw,+25078000859,,Inactive
SCH00860,Test School 860,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school860@testschool.rw,+25078000860,,Active
SCH00861,Test School 861,TSS,Eastern Province,Bugesera,Sector 2,Cell 2,Village 7,school861@testschool.rw,+25078000861,,Inactive
SCH00862,Test School 862,VTC,Western Province,Ngororero,Sector 3,Cell 3,Village 8,school862@testschool.rw,+25078000862,,Active
SCH00863,Test School 863,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school863@testschool.rw,+25078000863,,Inactive
SCH00864,Test School 864,TSS,Southern Province,Gisagara,Sector 5,Cell 5,Village 10,school864@testschool.rw,+25078000864,,Active
SCH00865,Test School 865,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school865@testschool.rw,+25078000865,,Inactive
SCH00866,Test School 866,Other,Eastern Province,Nyagatare,Sector 7,Cell 7,Village 12,school866@testschool.rw,+25078000866,,Active
SCH00867,Test School 867,TSS,Western Province,Rutsiro,Sector 8,Cell 8,Village 13,school867@testschool.rw,+25078000867,,Inactive
SCH00868,Test School 868,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school868@testschool.rw,+25078000868,,Active
SCH00869,Test School 869,Other,Southern Province,Nyanza,Sector 10,Cell 10,Village 15,school869@testschool.rw,+25078000869,,Inactive
SCH00870,Test School 870,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school870@testschool.rw,+25078000870,,Active
SCH00871,Test School 871,VTC,Eastern Province,Kirehe,Sector 12,Cell 2,Village 2,school871@testschool.rw,+25078000871,,Inactive
SCH00872,Test School 872,Other,Western Province,Rubavu,Sector 13,Cell 3,Village 3,school872@testschool.rw,+25078000872,,Active
SCH00873,Test School 873,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school873@testschool.rw,+25078000873,,Inactive
SCH00874,Test School 874,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school874@testschool.rw,+25078000874,,Active
SCH00875,Test School 875,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school875@testschool.rw,+25078000875,,Inactive
SCH00876,Test School 876,TSS,Eastern Province,Gatsibo,Sector 17,Cell 7,Village 7,school876@testschool.rw,+25078000876,,Active
SCH00877,Test School 877,VTC,Western Province,Nyabihu,Sector 18,Cell 8,Village 8,school877@testschool.rw,+25078000877,,Inactive
SCH00878,Test School 878,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school878@testschool.rw,+25078000878,,Active
SCH00879,Test School 879,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school879@testschool.rw,+25078000879,,Inactive
SCH00880,Test School 880,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school880@testschool.rw,+25078000880,,Active
SCH00881,Test School 881,Other,Eastern Province,Rwamagana,Sector 2,Cell 2,Village 12,school881@testschool.rw,+25078000881,,Inactive
SCH00882,Test School 882,TSS,Western Province,Karongi,Sector 3,Cell 3,Village 13,school882@testschool.rw,+25078000882,,Active
SCH00883,Test School 883,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school883@testschool.rw,+25078000883,,Inactive
SCH00884,Test School 884,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school884@testschool.rw,+25078000884,,Active
SCH00885,Test School 885,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school885@testschool.rw,+25078000885,,Inactive
SCH00886,Test School 886,VTC,Eastern Province,Ngoma,Sector 7,Cell 7,Village 2,school886@testschool.rw,+25078000886,,Active
SCH00887,Test School 887,Other,Western Province,Rusizi,Sector 8,Cell 8,Village 3,school887@testschool.rw,+25078000887,,Inactive
SCH00888,Test School 888,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school888@testschool.rw,+25078000888,,Active
SCH00889,Test School 889,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school889@testschool.rw,+25078000889,,Inactive
SCH00890,Test School 890,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school890@testschool.rw,+25078000890,,Active
SCH00891,Test School 891,TSS,Eastern Province,Kayonza,Sector 12,Cell 2,Village 7,school891@testschool.rw,+25078000891,,Inactive
SCH00892,Test School 892,VTC,Western Province,Nyamasheke,Sector 13,Cell 3,Village 8,school892@testschool.rw,+25078000892,,Active
SCH00893,Test School 893,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school893@testschool.rw,+25078000893,,Inactive
